,name,github_id,pypi_id,labels,category,show,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,projectrank_placing,recent_commit_count,updated_github_id,gitlab_id,gitlab_url
25,RFIClean,ymaan4/RFIClean,,['C'],rfi,True,https://github.com/ymaan4/RFIClean,https://github.com/ymaan4/RFIClean,GPL-2.0,2019-11-15 16:16:58,2021-04-23 18:34:12,2021-04-23 18:33:29,35.0,5.0,2.0,7.0,3.0,2.0,18.0,2021-02-09 17:05:03.000,1.2.0,3.0,Mitigation of periodic as well as narrow-band and spiky/bursty RFI from time-domain filterbank data.,,,,6,,,,,,3.0,,,,
26,casp,KshitijAggarwal/casp,,['python'],analysis,True,https://github.com/KshitijAggarwal/casp,https://github.com/KshitijAggarwal/casp,BSD-3-Clause,2020-03-12 03:19:24,2021-04-12 16:45:52,2021-04-12 16:45:52,25.0,,1.0,1.0,,,,2021-02-16 17:22:14.000,0.1.0,1.0,Calculating Association Probability of FRBs.,,,,6,,,,,,3.0,,,,
27,simpulse,kmsmith137/simpulse,,"['cpp', 'python']",Injection,True,https://github.com/kmsmith137/simpulse,https://github.com/kmsmith137/simpulse,,2016-06-08 17:18:15,2025-02-03 16:03:53,2022-03-03 18:11:24,76.0,9.0,4.0,6.0,,,16.0,,,,C++/python library for simulating FRBs and pulsars.,,,6.0,5,,,,,,1.0,,,,
28,injectfrb,liamconnor/injectfrb,,['python'],Injection,True,https://github.com/liamconnor/injectfrb,https://github.com/liamconnor/injectfrb,,2019-02-25 10:14:02,2022-06-28 16:00:53,2022-06-28 15:59:11,358.0,6.0,1.0,,3.0,,10.0,,,,Tools for simulating FRBs and injecting them into real data.,,,4.0,5,,,,,,1.0,,,,
29,dfdt,zpleunis/dfdt,,['python'],analysis,True,https://github.com/zpleunis/dfdt,https://github.com/zpleunis/dfdt,BSD-3-Clause,2020-09-18 01:48:08,2024-09-04 22:35:25,2024-09-04 22:35:12,42.0,1.0,2.0,2.0,,,10.0,,,,Linear drift rate measurements for fast radio bursts.,,,4.0,5,,,,,,3.0,,,,
30,FRB hosts,FRBs/FRBhostpage,,"['HTML', 'JS']",catalog,True,https://frbhosts.org/,https://github.com/FRBs/FRBhostpage,,2020-03-27 14:12:50,2022-02-21 17:42:28,2020-09-23 09:53:23,210.0,1.0,3.0,1.0,2.0,,,,,,Hosting for the FRB host webpage.,,,5.0,5,,,,,,3.0,,,,
31,TPP-FRB121102,thepetabyteproject/FRB121102,,"['python', 'jupyter']",analysis,True,https://thepetabyteproject.github.io/FRB121102/,https://github.com/thepetabyteproject/FRB121102,GPL-3.0,2021-02-04 22:47:54,2021-08-16 21:56:56,2021-08-16 21:33:23,26.0,,2.0,,,,12.0,,,,Results and analysis scripts for FRB121102 burst analysis.,,,5.0,4,,,,,,3.0,,,,
32,frbpa,KshitijAggarwal/frbpa,,['python'],analysis,True,https://github.com/KshitijAggarwal/frbpa,https://github.com/KshitijAggarwal/frbpa,BSD-3-Clause,2020-05-26 21:36:21,2020-08-21 17:30:27,2020-08-21 17:30:26,53.0,1.0,5.0,1.0,2.0,1.0,8.0,,,,FRB Periodicity Analysis.,,,2.0,4,,,,,,3.0,,,,
33,radio_transients,josephwkania/radio_transients,,"['python', 'C', 'cpp', 'CUDA']",containers,True,https://github.com/josephwkania/radio_transients,https://github.com/josephwkania/radio_transients,GPL-3.0,2021-03-06 05:27:00,2024-03-14 21:39:58,2024-03-14 21:39:50,32.0,2.0,2.0,,,,7.0,,,,Singularity containers with common radio transient search software.,,,,4,,,,,,1.0,,,,
34,PreFRBLE,FRBs/PreFRBLE,,['python'],popsynth,True,https://github.com/FRBs/PreFRBLE,https://github.com/FRBs/PreFRBLE,,2019-02-17 22:20:43,2020-10-16 10:10:17,2020-10-16 10:09:10,21.0,,2.0,5.0,,,6.0,2020-05-28 14:02:00.000,1.0,1.0,PrEFRBLE: Probability Estimates for Fast Radio Burst to obtain model Likelihood Estimates.,,,3.0,3,,,,,,3.0,,,,
35,FRB.software,FRBs/FRBs.github.io,,[''],catalog,True,https://frb.software/,https://github.com/FRBs/FRBs.github.io,,2020-07-15 14:30:29,2021-07-26 20:13:37,2021-07-26 20:13:36,49.0,2.0,3.0,7.0,,,2.0,,,,FRB Community Software site.,,,5.0,3,,,,,,3.0,,,,
36,heimdall,pravirkr/heimdall,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/pravirkr/heimdall,https://github.com/pravirkr/heimdall,GPL-3.0,2020-10-03 06:11:42,2020-10-04 20:19:13,,,,,,,,2.0,,,,copy of the Heimdall single-pulse detection code.,,,2.0,3,,,,,,3.0,,,,
37,SPANDAK,gajjarv/PulsarSearch,,['python'],Search,True,https://github.com/gajjarv/PulsarSearch,https://github.com/gajjarv/PulsarSearch,,2016-09-12 18:12:17,2024-06-25 15:29:46,2024-06-25 15:29:42,147.0,6.0,2.0,3.0,,,16.0,,,,,,,2.0,2,,,,,,3.0,,,,
38,Furby,vg2691994/Furby,,['python'],Injection,True,https://github.com/vg2691994/Furby,https://github.com/vivgastro/Furby,,2019-02-20 15:39:21,2022-06-22 04:52:11,2022-06-22 04:52:05,37.0,2.0,1.0,,1.0,,10.0,,,,Mock FRB generator.,,,2.0,2,,,,,,3.0,,vivgastro/Furby,,
39,visualizations,josephwkania/visualizations,,['python'],Visualization,True,https://github.com/josephwkania/visualizations,https://github.com/josephwkania/visualizations,,2020-11-22 03:08:03,2021-05-19 18:13:19,2021-05-19 18:11:23,6.0,,1.0,,,,7.0,,,,Visualizations of pulsar + FRB data processing.,,,,2,,,,,,1.0,,,,
40,FRB Faker,,,['python'],Injection,True,https://gitlab.com/houben.ljm/frb-faker,,,2020-04-09 08:44:27,2020-04-09 08:44:27,,,0.0,,,,3.0,3.0,,,0.0,"Tool to inject SPs with complex morphologies in Filterbank data, either true or synthetic data.",,,,2,,,,,,3.0,,,houben.ljm/frb-faker,https://gitlab.com/houben.ljm/frb-faker
41,DM_IGM,NihanPol/DM_IGM,,['python'],analysis,True,https://github.com/NihanPol/DM_IGM,https://github.com/NihanPol/DM_IGM,,2019-02-28 17:08:02,2019-08-15 14:01:19,2019-08-15 13:59:52,21.0,,1.0,,,,2.0,2019-07-18 14:10:10.000,1.0.0,1.0,,,,4.0,2,,,,,,3.0,,,,
42,burstpy,pravirkr/burstpy,,['python'],analysis,True,https://github.com/pravirkr/burstpy,https://github.com/pravirkr/burstpy,,2021-05-16 21:34:49,2021-07-09 06:16:24,,,,,,,,2.0,,,,Single Pulse Tools.,,,1.0,2,,,,,,3.0,,,,
43,joy-plotter,josephwkania/joy-plotter,,['python'],Visualization,True,https://github.com/josephwkania/joy-plotter,https://github.com/josephwkania/joy-plotter,GPL-3.0,2020-06-26 17:11:05,2021-04-24 06:21:14,2021-04-24 06:21:04,27.0,,1.0,,,,,,,,,,,2.0,2,,,,,,1.0,,,,
44,iqrm_apollo,,,['cpp'],rfi,True,https://gitlab.com/kmrajwade/iqrm_apollo,,,2020-04-21 15:21:39,2020-04-21 15:21:39,,,2.0,,,1.0,3.0,1.0,,,0.0,A standalone code to clean narrow-band RFI using Inter-Quartile Range Mitigation (IQRM) algorithm. The code works on..,,,,1,,,,,,3.0,,,kmrajwade/iqrm_apollo,https://gitlab.com/kmrajwade/iqrm_apollo
45,Heimdall Candidate Plotter,,,['python'],Visualization,True,https://gitlab.com/houben.ljm/heim_cand_plotter,,,2019-04-24 12:07:26,2019-04-24 12:07:26,,,1.0,,,,1.0,,,,0.0,Plotter designed to ease the inspection of Heimdall candidates. Perform a visual coincidence check or inspect the..,,,,1,,,,,,3.0,,,houben.ljm/heim_cand_plotter,https://gitlab.com/houben.ljm/heim_cand_plotter
46,pydedisp,pravirkr/pydedisp,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/pravirkr/pydedisp,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
47,Filterbank Cleaner,,,['python'],rfi,True,https://gitlab.com/houben.ljm/fil_cleaner,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,houben.ljm/fil_cleaner,
