,name,github_id,pypi_id,labels,category,show,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id,gitlab_id,gitlab_url
0,blimpy,UCBerkeleySETI/blimpy,blimpy,['python'],I/O,True,https://blimpy.readthedocs.io/en/latest/,https://github.com/UCBerkeleySETI/blimpy,BSD-3-Clause,2016-06-15 19:42:52,2022-11-18 14:55:22,2022-11-18 14:55:22,36.0,11.0,132.0,43.0,1655.0,2022-11-16 23:29:01.329,2.1.4,47.0,Breakthrough Listen I/O Methods for Python.,38.0,32.0,26.0,19,https://pypi.org/project/blimpy,2022-11-16 23:29:01.329,6.0,252.0,252.0,1.0,,,,
1,presto,scottransom/presto,,"['python', 'C', 'Fortran']",Search,True,https://www.cv.nrao.edu/~sransom/presto/,https://github.com/scottransom/presto,GPL-2.0,2009-09-29 21:35:23,2023-05-18 18:57:54,2023-05-18 18:57:50,160.0,29.0,50.0,213.0,2814.0,2021-05-09 17:12:17.000,4.0,5.0,Open source pulsar search and analysis toolkit.,29.0,29.0,41.0,18,,,,,,1.0,,,,
2,psrqpy,mattpitkin/psrqpy,psrqpy,['python'],catalog,True,https://psrqpy.readthedocs.io,https://github.com/mattpitkin/psrqpy,MIT,2017-11-15 11:27:08,2023-05-19 08:27:58,2023-05-13 10:32:51,24.0,4.0,49.0,38.0,,2023-05-19 08:30:05.279,1.2.7,55.0,A python module to query the ATNF pulsar catalogue.,0.0,,10.0,15,https://pypi.org/project/psrqpy,2023-01-16 10:10:02.702,0.0,531.0,531.0,1.0,,,,
3,AstroAccelerate,AstroAccelerateOrg/astro-accelerate,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/AstroAccelerateOrg/astro-accelerate,https://github.com/AstroAccelerateOrg/astro-accelerate,GPL-3.0,2013-02-27 12:04:06,2023-05-04 11:08:28,2023-03-10 16:01:39,15.0,13.0,115.0,34.0,1200.0,2020-11-20 16:43:08.000,1.8.1,25.0,AstroAccelerate is a many-core accelerated software package for processing time-domain radio-astronomy data.,,,23.0,14,,,,,,2.0,,,,
4,RM-Tools,CIRADA-Tools/RM-Tools,,['python'],analysis,True,https://github.com/CIRADA-Tools/RM-Tools/wiki,https://github.com/CIRADA-Tools/RM-Tools,MIT,2019-04-11 22:29:44,2023-05-16 03:32:33,2023-05-08 06:17:58,16.0,32.0,26.0,32.0,151.0,2022-12-21 00:26:06.000,1.3.0,11.0,"RM-synthesis, RM-clean and QU-fitting on polarised radio spectra.",,,9.0,14,,,,,,1.0,,,,
5,your,thepetabyteproject/your,your,['python'],I/O,True,https://thepetabyteproject.github.io/your/,https://github.com/thepetabyteproject/your,GPL-3.0,2019-08-05 12:31:16,2023-05-02 02:38:46,2023-05-02 02:38:46,24.0,,56.0,30.0,,2022-01-22 20:32:53.000,0.6.7,16.0,Your Unified Reader.,36.0,36.0,16.0,14,https://pypi.org/project/your,2022-01-22 20:32:53.000,0.0,146.0,146.0,2.0,,,,
6,pygedm,FRBs/pygedm,,"['cpp', 'Fortran', 'python']",analysis,True,https://pygedm.readthedocs.io,https://github.com/FRBs/pygedm,,2019-02-17 13:02:21,2022-12-26 03:35:20,2022-12-26 03:35:20,12.0,5.0,12.0,37.0,239.0,2021-07-19 06:36:45.000,3.3.0,5.0,"Python bindings for YMW16, NE2001 and YT2020 electron density models.",10.0,10.0,9.0,12,,,,,,1.0,,,,
7,fetch,devanshkv/fetch,,"['python', 'CUDA']",ML,True,https://github.com/devanshkv/fetch,https://github.com/devanshkv/fetch,GPL-3.0,2019-01-14 20:59:03,2023-02-14 13:01:53,2023-02-14 13:01:53,30.0,1.0,22.0,32.0,57.0,2020-06-24 01:11:43.000,0.1.8,1.0,A set of deep learning models for FRB/RFI binary classification.,35.0,35.0,8.0,12,,,,,,1.0,,,,
8,Frbpoppy,davidgardenier/frbpoppy,,['python'],popsynth,True,https://davidgardenier.github.io/frbpoppy/html/index.html,https://github.com/davidgardenier/frbpoppy,MIT,2017-01-03 11:02:10,2021-10-20 10:26:02,2021-06-15 12:44:17,9.0,18.0,36.0,24.0,462.0,2020-12-11 15:07:36.000,2.1.0,3.0,Fast Radio Burst Population Synthesis in Python.,,,5.0,12,,,,,,1.0,,,,
9,frbcat,davidgardenier/frbcat,,['python'],catalog,True,https://github.com/davidgardenier/frbcat,https://github.com/davidgardenier/frbcat,MIT,2020-02-19 15:03:56,2023-02-20 22:47:02,2022-12-09 15:18:03,4.0,5.0,4.0,20.0,50.0,2022-12-09 15:18:30.000,0.2.20,5.0,Query Fast Radio Burst catalogues.,3.0,3.0,3.0,12,,,,,,2.0,,,,
