,name,github_id,pypi_id,labels,category,show,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id,gitlab_id,gitlab_url
0,blimpy,UCBerkeleySETI/blimpy,blimpy,['python'],I/O,True,https://blimpy.readthedocs.io/en/latest/,https://github.com/UCBerkeleySETI/blimpy,BSD-3-Clause,2016-06-15 19:42:52,2021-06-28 15:21:33,2021-06-28 15:14:06,31.0,25.0,97.0,28.0,1402.0,2021-06-28 15:21:33,2.0.15,15.0,Breakthrough Listen I/O Methods for Python.,30.0,24.0,24.0,21,https://pypi.org/project/blimpy,2021-06-28 15:21:33,6.0,316.0,316.0,1,,,,
1,psrqpy,mattpitkin/psrqpy,psrqpy,['python'],catalog,True,https://psrqpy.readthedocs.io,https://github.com/mattpitkin/psrqpy,MIT,2017-11-15 11:27:08,2021-06-22 12:18:51,2021-06-22 12:13:06,14.0,6.0,34.0,22.0,461.0,2021-06-22 12:18:51,1.1.2,42.0,A python module to query the ATNF pulsar catalogue.,10.0,10.0,4.0,18,https://pypi.org/project/psrqpy,2021-06-22 12:18:51,0.0,254.0,254.0,1,,,,
2,presto,scottransom/presto,,"['python', 'C', 'Fortran']",Search,True,https://www.cv.nrao.edu/~sransom/presto/,https://github.com/scottransom/presto,,2009-09-29 21:35:23,2021-06-10 17:48:15,2021-06-10 17:48:07,144.0,17.0,36.0,158.0,2755.0,2021-05-09 17:12:17,4.0,5.0,Open source pulsar search and analysis toolkit.,21.0,21.0,37.0,17,,,,,,1,,,,
3,AstroAccelerate,AstroAccelerateOrg/astro-accelerate,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/AstroAccelerateOrg/astro-accelerate,https://github.com/AstroAccelerateOrg/astro-accelerate,GPL-3.0,2013-02-27 12:04:06,2021-06-17 14:07:16,2021-06-17 14:07:12,12.0,13.0,112.0,22.0,1155.0,2020-11-20 16:43:08,1.8.1,25.0,AstroAccelerate is a many-core accelerated software package for processing time-domain radio-astronomy data.,,,22.0,14,,,,,,2,,,,
4,your,thepetabyteproject/your,your,['python'],I/O,True,https://thepetabyteproject.github.io/your/,https://github.com/thepetabyteproject/your,GPL-3.0,2019-08-05 12:31:16,2021-06-10 22:00:06,2021-06-10 21:59:54,12.0,,43.0,14.0,663.0,2021-04-25 18:12:22,0.6.5,14.0,Your Unified Reader.,9.0,9.0,11.0,14,https://pypi.org/project/your,2021-04-25 18:12:22,0.0,133.0,133.0,2,-1.0,,,
5,Frbpoppy,davidgardenier/frbpoppy,,['python'],popsynth,True,https://davidgardenier.github.io/frbpoppy/html/index.html,https://github.com/davidgardenier/frbpoppy,MIT,2017-01-03 11:02:10,2021-06-15 12:44:18,2021-06-15 12:44:17,8.0,18.0,36.0,21.0,462.0,2020-12-11 15:07:36,2.1.0,3.0,Fast Radio Burst Population Synthesis in Python.,,,5.0,13,,,,,,1,,,,
6,RM-Tools,CIRADA-Tools/RM-Tools,,['python'],analysis,True,https://github.com/CIRADA-Tools/RM-Tools/wiki,https://github.com/CIRADA-Tools/RM-Tools,MIT,2019-04-11 22:29:44,2021-06-29 22:05:23,2021-06-29 22:05:18,9.0,18.0,13.0,17.0,109.0,2021-04-26 15:27:33,1.1.1,8.0,"RM-synthesis, RM-clean and QU-fitting on polarised radio spectra.",,,7.0,12,,,,,,1,,,,
7,frbcat,davidgardenier/frbcat,,['python'],catalog,True,https://github.com/davidgardenier/frbcat,https://github.com/davidgardenier/frbcat,MIT,2020-02-19 15:03:56,2021-06-16 12:45:49,2021-06-16 12:45:26,3.0,2.0,3.0,14.0,48.0,2021-06-16 12:45:50,0.2.19,4.0,Query Fast Radio Burst catalogues.,1.0,1.0,3.0,12,,,,,,2,,,,
8,fruitbat,abatten/fruitbat,fruitbat,['python'],analysis,True,https://fruitbat.readthedocs.io/,https://github.com/abatten/fruitbat,BSD-3-Clause,2019-02-09 09:52:39,2021-05-19 14:41:12,2019-08-14 04:04:45,4.0,,7.0,10.0,236.0,2019-08-13 09:23:41,1.1.0,5.0,Fast Radio Burst (FRB) Redshift Estimation.,1.0,1.0,2.0,12,https://pypi.org/project/fruitbat,2019-08-13 09:23:41,,62.0,62.0,1,,,,
9,rfpipe,realfastvla/rfpipe,,['python'],Search,True,https://realfastvla.github.io/rfpipe/,https://github.com/realfastvla/rfpipe,BSD-3-Clause,2016-07-15 21:01:44,2021-06-24 23:52:51,2021-06-24 23:49:43,4.0,18.0,36.0,8.0,1332.0,,,,Fast radio interferometric transient search pipeline.,1.0,1.0,11.0,11,,,,,,2,,,,
10,FRB,FRBs/FRB,,['python'],analysis,True,https://github.com/FRBs/FRB,https://github.com/FRBs/FRB,BSD-3-Clause,2017-03-16 12:26:19,2021-06-27 15:10:40,2021-05-26 15:19:53,9.0,3.0,6.0,29.0,,2019-09-10 09:27:47,1.0.0,1.0,"Python code related to DM calculations, estimations, and analysis.",,,13.0,10,,,,,,2,,,,
11,fetch,devanshkv/fetch,,"['python', 'CUDA']",ML,True,https://github.com/devanshkv/fetch,https://github.com/devanshkv/fetch,GPL-3.0,2019-01-14 20:59:03,2021-06-23 02:17:31,2021-04-30 02:01:35,18.0,,11.0,13.0,57.0,2020-06-24 01:11:43,0.1.8,1.0,A set of deep learning models for FRB/RFI binary classification.,6.0,6.0,5.0,10,,,,,,1,,,,
12,pygedm,FRBs/pygedm,,"['cpp', 'Fortran', 'python']",analysis,True,https://pygedm.readthedocs.io,https://github.com/FRBs/pygedm,,2019-02-17 13:02:21,2021-06-11 05:48:18,2021-06-11 05:48:00,7.0,3.0,2.0,24.0,176.0,,,,"Python bindings for YMW16, NE2001 and YT2020 electron density models.",1.0,1.0,8.0,9,,,,,,2,,,,
13,single_pulse_ml,liamconnor/single_pulse_ml,,['python'],ML,True,https://github.com/liamconnor/single_pulse_ml,https://github.com/liamconnor/single_pulse_ml,GPL-2.0,2017-05-02 12:17:52,2020-01-13 18:40:36,2020-01-13 18:42:44,7.0,,,9.0,369.0,2018-10-02 11:30:34,1.0.0,1.0,,,,30.0,9,,,,,,3,,,,
14,sigpyproc3,FRBs/sigpyproc3,,"['python', 'cpp']",I/O,True,https://sigpyproc3.readthedocs.io,https://github.com/FRBs/sigpyproc3,,2020-04-16 17:23:05,2021-05-16 05:21:59,2021-03-31 10:11:04,3.0,5.0,2.0,4.0,,2021-03-31 07:35:14,0.5.5,3.0,Python3 version of Ewan Barr's sigpyproc library.,,,8.0,9,,,,,,3,,,,
15,Amber,TRASAL/AMBER,,['cpp'],Search,True,http://alert.eu/,https://github.com/TRASAL/AMBER,Apache-2.0,2015-03-27 14:59:41,2020-11-17 12:48:21,2020-11-17 12:48:15,1.0,,13.0,1.0,726.0,2020-09-25 14:26:34,3.0.1,3.0,"A many-core transient searching pipeline, designed to search in real-time for Fast Radio Bursts.",,,4.0,9,,,,,,3,,,,
16,burst_search,kiyo-masui/burst_search,,"['python', 'C']",Search,True,https://github.com/kiyo-masui/burst_search,https://github.com/kiyo-masui/burst_search,GPL-2.0,2014-07-28 20:54:02,2018-04-10 22:34:32,2018-02-27 06:05:03,6.0,1.0,,5.0,297.0,,,,Program to perform real-time and off-line searches for fast radio bursts in GBT GUPPI data.,,,18.0,8,,,,,,3,,,,
17,RFIClean,ymaan4/RFIClean,,['C'],rfi,True,https://github.com/ymaan4/RFIClean,https://github.com/ymaan4/RFIClean,,2019-11-15 16:16:58,2021-04-23 18:34:12,2021-04-23 18:33:29,2.0,,2.0,3.0,35.0,2021-02-09 17:05:03,1.2.0,3.0,Mitigation of periodic as well as narrow-band and spiky/bursty RFI from time-domain filterbank data.,,,,8,,,,,,1,-1.0,,,
18,psrdada-python,TRASAL/psrdada-python,,['python'],I/O,True,https://trasal.github.io/psrdada-python/index.html,https://github.com/TRASAL/psrdada-python,,2018-05-07 09:23:43,2020-11-17 12:34:00,2020-11-17 12:33:52,3.0,,2.0,3.0,51.0,2020-07-14 12:16:50,0.1.0,2.0,Python bindings to the PSRDada ringbuffer implementation.,,,4.0,8,,,,,,3,,,,
19,casp,KshitijAggarwal/casp,,['python'],analysis,True,https://github.com/KshitijAggarwal/casp,https://github.com/KshitijAggarwal/casp,BSD-3-Clause,2020-03-12 03:19:24,2021-04-12 16:45:52,2021-04-12 16:45:52,,,,,25.0,2021-02-16 17:22:14,0.1.0,1.0,Calculating Association Probability of FRBs.,,,,8,,,,,,2,-1.0,,,
20,DM_Phase,danielemichilli/DM_phase,,['python'],analysis,True,https://github.com/danielemichilli/DM_phase,https://github.com/danielemichilli/DM_phase,GPL-3.0,2019-01-25 18:16:49,2020-12-14 18:55:35,2020-07-09 18:51:30,3.0,,5.0,9.0,26.0,,,,Tool to calculate the best dispersion measure for a burst using phase information.,,,3.0,7,,,,,,3,,,,
21,simpulse,kmsmith137/simpulse,,"['cpp', 'python']",Injection,True,https://github.com/kmsmith137/simpulse,https://github.com/kmsmith137/simpulse,,2016-06-08 17:18:15,2021-05-31 17:29:07,2019-12-25 23:58:19,5.0,,,6.0,70.0,,,,C++/python library for simulating FRB's and pulsars.,,,5.0,7,,,,,,1,,,,
