,name,github_id,pypi_id,labels,category,show,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id,gitlab_id,gitlab_url
0,blimpy,UCBerkeleySETI/blimpy,blimpy,['python'],I/O,True,https://blimpy.readthedocs.io/en/latest/,https://github.com/UCBerkeleySETI/blimpy,BSD-3-Clause,2016-06-15 19:42:52,2022-11-18 14:55:22,2022-11-18 14:55:22,41.0,11.0,132.0,48.0,1655.0,2022-11-16 23:29:01.329,2.1.4,47.0,Breakthrough Listen I/O Methods for Python.,48.0,42.0,26.0,21,https://pypi.org/project/blimpy,2022-11-16 23:29:01.329,6.0,2365.0,2365.0,1.0,,,,
1,psrqpy,mattpitkin/psrqpy,psrqpy,['python'],catalog,True,https://psrqpy.readthedocs.io,https://github.com/mattpitkin/psrqpy,MIT,2017-11-15 11:27:08,2024-12-10 22:15:18,2024-12-10 22:14:11,26.0,3.0,60.0,42.0,,2024-12-10 22:15:18.000,1.3.0,59.0,A python module to query the ATNF pulsar catalogue.,42.0,36.0,10.0,18,https://pypi.org/project/psrqpy,2024-12-10 22:15:18.000,6.0,1570.0,1570.0,1.0,1.0,,,
2,presto,scottransom/presto,,"['python', 'C', 'Fortran']",Search,True,https://www.cv.nrao.edu/~sransom/presto/,https://github.com/scottransom/presto,GPL-2.0,2009-09-29 21:35:23,2024-11-25 23:13:36,2024-11-25 23:13:33,174.0,34.0,59.0,240.0,2919.0,2024-06-22 15:28:32.000,5.0.2,8.0,Open source pulsar search and analysis toolkit.,,,43.0,17,,,,,,1.0,-1.0,,,
3,RM-Tools,CIRADA-Tools/RM-Tools,,['python'],analysis,True,https://github.com/CIRADA-Tools/RM-Tools/wiki,https://github.com/CIRADA-Tools/RM-Tools,MIT,2019-04-11 22:29:44,2024-12-06 00:35:18,2024-12-06 00:25:32,23.0,20.0,58.0,45.0,260.0,2024-12-06 00:35:18.000,1.4.8,21.0,"RM-synthesis, RM-clean and QU-fitting on polarised radio spectra.",5.0,5.0,14.0,16,,,,,,1.0,,,,
4,your,thepetabyteproject/your,your,['python'],I/O,True,https://thepetabyteproject.github.io/your/,https://github.com/thepetabyteproject/your,GPL-3.0,2019-08-05 12:31:16,2024-11-14 18:33:29,2024-08-05 14:20:27,26.0,2.0,62.0,36.0,,2022-01-22 20:32:53.000,0.6.7,16.0,Your Unified Reader.,54.0,54.0,18.0,16,https://pypi.org/project/your,2022-01-22 20:32:53.000,0.0,398.0,398.0,2.0,,,,
5,AstroAccelerate,AstroAccelerateOrg/astro-accelerate,,"['cpp', 'CUDA', 'python']",Search,True,https://github.com/AstroAccelerateOrg/astro-accelerate,https://github.com/AstroAccelerateOrg/astro-accelerate,GPL-3.0,2013-02-27 12:04:06,2024-10-10 14:03:25,2024-10-10 14:03:20,16.0,4.0,116.0,44.0,1206.0,2020-11-20 16:43:08.000,1.8.1,25.0,AstroAccelerate is a many-core accelerated software package for processing time-domain radio-astronomy data.,,,23.0,14,,,,,,2.0,,,,
6,fetch,devanshkv/fetch,,"['python', 'CUDA']",ML,True,https://github.com/devanshkv/fetch,https://github.com/devanshkv/fetch,GPL-3.0,2019-01-14 20:59:03,2024-05-15 18:06:22,2024-05-15 18:06:22,32.0,7.0,24.0,43.0,57.0,2020-06-24 01:11:43.000,0.1.8,1.0,A set of deep learning models for FRB/RFI binary classification.,61.0,61.0,10.0,13,,,,,,1.0,,,,
7,Frbpoppy,davidgardenier/frbpoppy,,['python'],popsynth,True,https://davidgardenier.github.io/frbpoppy/html/index.html,https://github.com/TRASAL/frbpoppy,MIT,2017-01-03 11:02:10,2024-09-03 19:19:06,2024-09-03 19:16:33,9.0,18.0,36.0,28.0,554.0,2024-09-03 19:19:06.000,2.2.0,4.0,Fast Radio Burst Population Synthesis in Python.,,,7.0,13,,,,,,1.0,-1.0,TRASAL/frbpoppy,,
8,fruitbat,abatten/fruitbat,fruitbat,['python'],analysis,True,https://fruitbat.readthedocs.io/,https://github.com/abatten/fruitbat,BSD-3-Clause,2019-02-09 09:52:39,2022-01-11 14:05:19,2021-12-14 02:49:54,5.0,3.0,10.0,17.0,242.0,2021-07-06 05:12:40.000,2.0.1,6.0,A fast radio burst (FRB) redshift estimation package written in Python.,6.0,6.0,2.0,13,https://pypi.org/project/fruitbat,2021-07-06 05:12:40.000,,172.0,172.0,1.0,,,,
9,FRB,FRBs/FRB,,['python'],analysis,True,https://github.com/FRBs/FRB,https://github.com/FRBs/FRB,BSD-3-Clause,2017-03-16 12:26:19,2024-12-16 22:13:57,2024-12-16 21:06:42,26.0,5.0,6.0,60.0,,2024-01-15 16:21:55.000,2.1,3.0,"Python code related to DM calculations, estimations, and analysis.",,,28.0,12,,,,,,2.0,,,,
